Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
56;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;1,867;Q1;142;1415;1945;69795;14470;171;6,92;49,33;37,62;21;504;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
57;15134;"Information Sciences";journal;"00200255";"Elsevier Inc.";No;No;1,803;Q1;243;1306;3981;57494;33358;3973;8,25;44,02;31,01;0;118;United States;Northern America;"Elsevier Inc.";"1968-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
58;23212;"Annales de l'institut Henri Poincare (B) Probability and Statistics";journal;"02460203";"Institute of Mathematical Statistics";No;No;1,755;Q1;56;98;250;3736;438;250;1,69;38,12;20,00;0;1;Netherlands;Western Europe;"Institute of Mathematical Statistics";"1997-2024";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
59;21100899442;"Comparative Migration Studies";journal;"2214594X";"SpringerOpen";Yes;No;1,693;Q1;39;59;135;3921;815;124;3,88;66,46;55,56;2;41;Switzerland;Western Europe;"SpringerOpen";"2013-2025";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
60;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";"SAGE Publications Inc.";No;No;1,687;Q1;66;26;87;2423;585;83;7,14;93,19;42,03;2;5;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2025";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
61;130065;"Journal of Enterprise Information Management";journal;"17410398";"Emerald Publishing";No;No;1,675;Q1;89;88;198;8542;2328;193;10,24;97,07;35,94;0;43;United Kingdom;Western Europe;"Emerald Publishing";"2004-2025";"Decision Sciences (miscellaneous) (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
62;21283;"Management Learning";journal;"14617307, 13505076";"SAGE Publications Ltd";No;No;1,672;Q1;91;72;116;5455;589;111;5,22;75,76;59,41;3;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-2025";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
63;14756;"Statistical Science";journal;"08834237";"Institute of Mathematical Statistics";No;No;1,672;Q1;125;38;124;2946;436;122;2,40;77,53;21,28;0;1;United States;Northern America;"Institute of Mathematical Statistics";"1986-2024";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
64;18164;"Computers and Industrial Engineering";journal;"03608352";"Elsevier Ltd";No;No;1,628;Q1;176;828;2359;46981;21265;2352;8,07;56,74;29,55;1;339;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences; Engineering"
65;21926;"Decision Sciences";journal;"00117315, 15405915";"Wiley-Blackwell Publishing Ltd";No;No;1,620;Q1;129;50;120;3066;648;120;3,38;61,32;32,91;1;14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2025";"Business, Management and Accounting (miscellaneous) (Q1); Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
